book_title;author;reader_review;rating;label
Les Misérables;VictorHugo;"Remerciements à Cannetille, qui m'a mis sur la piste des classiques ! L'horreur. . . quelle horreur ! Les dernières paroles de Kurtz, ancien de la CIA, ancien mercenaire, devenu fou. Un ultime moment de lucidité - il revit ce qu'il a vu, ce qu'il a fait, ce qu'ils on fait. Avant que la balle du tueur ne vienne solder les comptes et clarifier la situation tactique. La guerre du Viêt-Nam, façon Coppola. La misère, c'est aussi cette horreur, glaucque, froide, noire, qui vient se coller à votre vie, s'y introduit, la vide, et vous transforme en quelque chose plutôt qu'en quelqu'un. L'horreur du vide, intérieur cette fois, ou la colère, l'envie, le honte viennent remplacer la générosité, l'amour, la vie même. le misérable, pour Hugo, c'est celui dont l'existence a, en son coeur, ce manque, cette rage, ce désespoir, ce hurlement. le pauvre n'est pas toujours misérable, ni le misérable pauvre ! Alors on essaye d'y échapper, à ce cauchemar. Javert, né dans le ruisseau, y échappe en se retournant contre ceux qui y sont restés : devenu policier, il combat la misère en éliminantles misérables, un à un, sans pitié, sans rage non plus, avec la méthode, la détermination de celui qui sait faire le bien. Spartiate, zélote, inquisiteur, il n'hésite jamais. Même pas quand c'est lui qui faute. Procureur jury et juge, il se suicide, par principe. Echec et mat. Fantine, bonne fille, coeur aimant, est bousculée, abusée, avilie. . Elle tente de faire face, mais n'a pas les ressources pour garder la tête hors de l'eau. Elle sombre au milieu des vagues qui l'accablent. Thénardier et sa nichée - il n'est plus question de famille à ce niveau de corruption - Thénardier n'essaye même pas. L'avons nous connu trop tard, a t-il jamais été humain? Nous ne le saurons pas. C'est l'état adulte de l'horreur. Il n'y a plus que rage, envie, colère - même plus de honte. Toute trace de dignité humaine a été expurgée. L'horreur - cette chose obscure, informe qui n'est qu'hurlement - règne en son sein. Et puis Jean Valjean. Né pauvre, victime du sort, lui aussi a connu la déscente aux enfers. le bagne, pour vol d'une miche de pain. La voie était toute tracée. mais il a rencontré la bonté. Un homme, qui lui avait fait du bien, et qu'il avait pourtant volé, a répondu à ce vol en lui donnant une seconde chance : de quoi commencer une nouvelle vie. Et il l'a saisie ! D'apprenti misérable, Jean Valjean deviendra bienfaiteur, grâce aux rencontres, grâce aux autres, quelques autres. . . Un roman de 1700 pages ! Une oeuvre politique, dont le message est clair : "" de la lumière à flots . Aucune chauve-souris ne résiste à l'aube. Eclairez la société en dessous ! ""(p. 824). Un plaidoyer pour l'éducation nationale. La connaissance bannirait l'horreur. C'est un peu court, diron nous. Voilà bien l'optimisme exagéré d'une certaine époque. Mais le désir de perfection, restant insatisfait, ne doit pas mépriser ce qui tend vers un mieux. Comme Jean Valjean, acceuillons le bien que nous trouvons sur notre chemin, défendons le et essayons d'y ajouter un peu de nous.";5.0;1
Les Misérables;VictorHugo;Une histoire devenue mythique mais comment peut-on prendre autant de temps pour écrire des choses aussi infimes. C'est long, un martyr que je donnerai pas à mes enfants;1.0;-1
Les Misérables;VictorHugo;"Autant j'avais bien aimé la mini-série autant je n'ai pas aimé du tout le livre. J'avais du lire le tome 1 pour les cours et je n'ai pas pu le finir et c'est assez rare que je ne finisse pas un livre. D'ordinaire quand je sais que sur le moment je ne vais pas réussir un livre je le mets de coté en me disant je le reprendrai plus tard et on verra bien, mais là avec ""les misérables"" de Victor Hugo je sais que je ne pourrais jamais le reprendre car je n'ai pas aimé le livre. Il y a trop de passage descriptif, je sais que c'est le style de Hugo et qu'à l'époque il fallait pas mal écrire, mais je trouve que par moment c'est un peu abusé dans ce livre. Bien que je n'ai lu que 2 livres de Victor Hugo à savoir le tome 1 des misérables et ""le dernier jour d'un condamné"" je n'ai aimé que le dernier jour d'un condamné et le livres sur les misérables ne pas donné envie de lire d'autres livre de Hugo.";2.0;-1
Les Misérables;VictorHugo;Un classique de la littérature française (et mondiale) écrit par Victor Hugo. L'histoire est touchante, émouvante. Les personnages sont misérables, et cumulent des tas de problèmes, mais c'est ce qui les rends si touchants.;3.0;0
Les Misérables;VictorHugo;3500 pages, un monument, des digressions qui m'ont lassé mais ont éveillé ma curiosité sur une période de l'histoire dont je n'avais qu'une idée confuse. C'est aussi l'histoire de Marius et Cosette, une manière un peu dégoulinante de jouer avec les sentiments qui ne me plait pas trop mais permet d'étayer la thèse assez légitime d'un républicain convaincu, qui tente d'analyser avec seulement un demi siècle de recul les bienfaits de la révolution. Mais qu'écrirait-il si il revenait maintenant? Écrirait-il encore : 'La France n'a besoin d'aucune Corse pour être grande. La France est grande parce qu'elle est la France. 'Petit résumé pour ceux qui comme moi n'ont pas les idées bien claires de cette période1789 Révolution1799 Coup d'état de Napoléon, 1ère république1804 Napoleon empereur (1802 naissance V H)1814 Napoleon à St Hélène >>Louis18, charte1814 Retour de Napoléon, 100 jrs1815 Waterloo, 2e restauration, Louis18 puis Charles 10, qui exagère. . 1830 Chômage (ateliers nationaux) indument accusé de ruiner l'état, 3 glorieuses, Louis Philippe1er, 1848 3e révolution, abdication, 2e république1852 LouisNapoléon Bonaparteempereur (1862, Les misérables)1870 Victoire de la Prusse, 3e république1940 Pétain Vichy fin 3e rép. 1945 4e répub1958 Algérie, De Gaulle, 5e répub.;3.0;0
L'amant;MargueriteDuras;"Marguerite Duras nous ressert le couvert d'Un Barrage Contre Le Pacifique en écrivant cette sorte d'addendum trente-cinq ans plus tard, où elle redore le blason de celui qu'elle appelait alors Monsieur Jo et qu'elle ne nomme désormais plus dans L'Amant que ""l'homme de Cholen"", nous offrant, ce faisant, un genre de pendant à la Lolita de Nabokov, mais raconté du point de vue de la jeune fille. Avec l'âge, la reconnaissance et la maturité, Marguerite Duras n'éprouve plus le besoin de romancer ou d'aménager ses souvenirs autobiographiques comme dans le Barrage. Ici, elle laisse couler ses souvenirs et ses sensations à la façon du cours paisible du Mékong et nous les livre, non pas bruts, car l'âge aidant, ils sont largement passés au tamis des omissions, des hypertrophies et des embellissements divers mais donnent un réel sentiment d'authenticité, car on sent bien qu'elle ne cherche plus à plaire. On dirait plutôt un addendum, un testament littéraire sur sa vie à Sadec en Indochine, destiné à ses proches pour quand elle ne sera plus. Aussi, je conseille au lecteur de lire préalablement Un Barrage Contre Le Pacifique, qui est en quelque sorte la pièce maîtresse à laquelle l'auteur souhaite apporter des éclaircissements ou des modifications (notamment le fait qu'à l'époque où elle écrit le Barrage, sa mère et son frère aîné ne sont pas encore morts et elle ne peut donc pas avouer dans le livre ce qu'elle leur a caché durant toute sa vie, d'où le rôle tronqué de Monsieur Jo, qui retrouve ses lettres de noblesse dans L'Amant tandis que son frère Joseph subit, lui, plutôt une rétrogradation et devient moins attachant). Néanmoins, il faut prévenir le lecteur qu'à aucun moment on ne retrouve la construction et la linéarité d'Un barrage Contre Le Pacifique. L'Amant est une somme de souvenirs souvent pêle-mêle comme notre cerveau les emmêle parfois en oubliant de les classer. Stylistiquement, ces discontinuités et cette manière de ne pas nommer les personnages principaux engendrent un certain mystère et possèdent un potentiel lyrique et nostalgique indéniable, mais ce n'est là que mon avis, autant dire, pas grand-chose.";3.5;0
L'amant;MargueriteDuras;"J'ai adoré. . . refermer ce bouquin et passer à autre chose. . . Un point commun cependant avec l'auteur , la lassitude profonde suscitée par la vision cinématographique d'Annaud à l'esthétisme outrancier et ennuyeux . Point de discorde , enfin j'imagine , concernant le style Durassien qui m'a profondément déplu . D'aucuns argueront que je manque cruellement de sensibilité ! Ça me ferait mal , j'ai adoré la quadrilogie des Rambo , argument imparable s'il en est. . . S'il n'avait pas été autobiographique et rendu bien moins lisse par la présence de ce frere ainé traumatisant et de cette mere aux sentiments ambivalents , il est fort possible que je sois passé de l'ennui au coma le plus profond ! Les mots glissaient sur moi telsBalaskosur la poudreuse virginale dans "" Les bronzés font du ski "" ! Et là , je vous entends déjà me rétorquer : peut-etre que sur un malentendu , c'eut pu plaire ? Que nénni , point d'équivoque à l'horizon. . . Le constat est là , implacable avec cette impression d'avoir tourner les pages dans le brouillard le plus total. . . J'aurais aimé , tel Gabin dans "" Quai des brumes "" , déclamer en le refermant : t'as de beaux yeux tu sais. . . Seulement voilà , ces premiers émois amoureux , dans un contexte familial et societal foncierement hostiles , m'ont laissé sur le bas coté . Aucune empathie , aucune adhésion à l'histoire. . . Malgré des themes interessants , ce livre ne me donna jamais l'impression de passer à coté de quelque chose d'intangible , prix Goncourt ou pas. . . Foin de tergiversations , inutile d'en rajouter , ce livre n'était tout simplement pas fait pour moi mais saura certainement , vues les nombreuses ondes positives ressenties à sa lecture par le plus grand nombre , toucher en plein coeur le ou la romantique qui sommeille en vous ! Quant à moi , il ne me reste plus qu'à aller martyriser une nouvelle boite de kleenex devant ce poeme visuel et lyrique qu'était "" Rambo 4 "" ! J'suis trop sensible tiens. . Beuaaaaahhh , Colonel. . . L'Amant, histoire d'un rendez-vous manqué. . .";2.0;-1
L'amant;MargueriteDuras;"« L'amant », livre écrit parMarguerite Durasen 1984 a reçu cette même année le prix Goncourt. Édité aux Éditions de Minuit en Juillet 2011, l'ouvrage est très court (137 pages) et se lit d'une traite bien qu'il fasse partie de ces livres qui présente plusieurs facettes. Première facette, celle d'un amour impossible entre un Chinois richissime qui découvre le corps de Marguerite mais ne peut exprimer ses sentiments qu'à travers la parodie (page 61), Marguerite qui n'est alors qu'une enfant de quinze ans, avec un corps en pleine transformation. Ce Chinois, « l'homme de Cholen », n'aura pas la force de l'aimer, elle, contre son père, ce père Chinois qui obligea son fils à quitter la France alors qu'il y achevait ses études universitaires. Deuxième facette, celle de la découverte par Marguerite de sa sexualité. Cette initiation amoureuse, Marguerite la vit comme une soif de savoir, une soif d'émotions, un jeu subtil où tout est permis, sans tabous : « c'est à elle de savoir » (page 46). Elle découvre le corps de l'homme de Cholen, mais aussi celui d'Hélène Lagonelle, un corps lourd, innocent, avec des seins à dévorer (page 88). Troisième facette, celle de l'émancipation. Marguerite a quinze ans. Elle veut aller à la découverte du monde et couper le cordon ombilical avec sa famille. Adolescente, elle agit avec conviction, pleine de certitudes, voulant se mettre à l'écart de sa famille, pour la première fois et pour toujours (page 46). Cette démarche la projette dans le monde des adultes, loin des rêveries enfantines ; elle s'immerge dans une réalité nouvelle, pleine de surprises : se prostitue-t-elle vraiment quand elle couche avec son Chinois ? Elle n'en est pas convaincue, et puis elle ne peut échapper à certaines obligations envers elle-même, à commencer par l'obligation de tracer sa propre route. Quatrième facette, celle d'une famille pas ordinaire. le père est absent, la mère est accablée, seule avec ses enfants, à savoir un fils ainé, un jeune frère et Marguerite. Cette famille, c'est une histoire commune de ruine et de mort (page 33). La mère hurle dans le désert de sa vie (page 55). le fils ainé est chéri par la mère (« mon fils, c'est mon enfant ») et haï par Marguerite car il dilapide la fortune familiale, vole sa propre mère, viole la domestique et menace son jeune frère. Ignorant Marguerite, il semble souffrir de ne pas pouvoir faire le mal librement (page 72). Marguerite lui préfère son frère cadet, d'ailleurs elle aime danser avec lui (page 66), avec cet attrait qu'exerce le rapprochement des corps. Elle lui portera un amour insensé (page 125). La mère est clairement folle (page 32) ; elle achète des couveuses électriques, y place 600 poussins qu'elle fait griller suite à une fausse manoeuvre ; en hiver, elle fait monter des moutons dans sa chambre. Folle et violente de surcroit : Marguerite, toute petite déjà, était nue et frappée, longtemps, jusqu'au danger, obscur et terrifiant (page 72), car les deux autres enfants ne sont jamais que « les plus jeunes » : le rejet est total, et cette mère -qui sait être intelligente, vive, gaie et d'un naturel incomparable (page 72)- porte en elle beaucoup d'amour et beaucoup de haine. Cinquième facette, celle d'une Indochine de l'entre deux guerres avec ces Français qui vivent de chasse, de réceptions, de jeux et d'alcool au coeur de Saigon, avec ce pensionnat et ses règles strictes, ces grandes voies à l'américaine, sillonnées par les tramways, ces pousse-pousse, ces cars, ces terrasses qui donnent sur le Mékong, ces plantes vertes, comme mortes de chaleur sous la fournaise (page 54). Les blancs y vivent dans l'opulence et l'indifférence (pour ne pas dire le mépris) envers la population indigène. Ils résident dans des maisons bâties sur des terre-plein, isolées des serpents, des fourmis rouges et des inondations. L'après-midi, on y joue du piano en dégustant le thé apporté par les boys. Chez Marguerite, l'argent manque et les frères ne font rien pour y remédier : coucher avec l'homme de Cholen, c'est le moyen pour Marguerite d'obtenir des diamants, de l'or, du jade, de « sauver les apparences », d'affirmer leur statut de famille française en pleine Indochine, par fierté, par orgueil. L'argent, c'est le moyen de réaliser un rêve : retourner en France. « L'amant », roman largement autobiographique de Marguerite Duras, plonge le lecteur dans des souvenirs jetés pêlemêle, au fil des pages, avec ce mouvement perpétuel d'allers-retours entre le passé, le présent et le futur. L'atmosphère est riche d'émotions, de mystère et de nostalgie. L'ouvrage, écrit avec sincérité, sans pudeur, avec mélancolie, dans un style, avec une syntaxe et une ponctuation si peu classiques (cf. ma citation), sur un ton lent et décousu, avec une grande économie de mots et des non-dits, laisse pointer, parfois à l'excès, le tragique, le pathos. de l'ennui ? Non point. Sur le ton de la confidence, Marguerite s'observe et dissèque ses émotions, de l'extérieur, résignée, avec calme et persévérance : laissant derrière elle le principal de sa vie, la misère (page 73), elle entrevoit son destin, écriredes livres (page 122). Belle recherche de soi, et bel aboutissement. Je recommande et mets quatre étoiles.";4.0;1
L'amant;MargueriteDuras;L'amant, un classique de la bibliographie deMarguerite Duras, reste pour moi un merveilleux souvenir de lecture. Marguerite Durasraconte, toujours avec une écriture fluide et directe, l'amourpassionnel qu'elle a eu pour ce chinois, rencontré par hasard dans un bac sur le Mékong. L'histoire se passe dans l'Indochine des années 30, époque encore coloniale, où la différence culturelle et raciale se fait encore sentir. C'est finalement une rencontre entre deux personnes que tout semble séparer: la classe sociale, les origines et la culture. Pourtant, Marguerite Durasconnaitra avec ce chinois un amour passionnel et irraisonné, au vu de la société indochinoise, notamment de sa famille. En effet, cette relation sera très mal perçue par sa mère et son frère et des rapports conflictuels naîtront entre elle et sa famille. J'ai beaucoup apprécié la façon dontMarguerite Durasraconte ses souvenirs, on ressent beaucoup d'émotion, de romantisme, de poésie et de sensualité dans ses écrits. Elle nous raconte cet amour avec beaucoup de sincérité et sans tabou. Une passion dévorante qui restera longtemps dans le coeur deMarguerite Duras. Un roman qui m'a émue et profondément marquée. Une magnifique rencontre entre ces deux amants et entreMarguerite Duraset moi.;5.0;1
L'amant;MargueriteDuras;Jusqu'ici ma seule rencontre avec l'oeuvre de Marguerite Duras était le film « Hiroshima mon amour » dont elle signait le scénario. Rencontre pas concluante du tout puisque j'ai trouvé ce film insupportable. Je ne suis pourtant pas hostile au cinéma d'auteur, mais « Hiroshima mon amour » m'a profondément ennuyée et même agacée tant il m'a parue maniéré et artificiel. Défauts que j'ai retrouvés dans « l'amant ». En effet, ce roman, pourtant célébrissime et récipiendaire du prix Goncourt, ne m'a pas réconcilié avec Duras. En fait, ce sera même ma dernière tentative avec cette auteure, que ce soit en tant que scénariste ou en tant que romancière. Il ne se passe rien dans « l'amant » mais parfois le rien peut être passionnant. Ici, le rien est chiant. le récit est totalement désincarné, il n'y a aucune émotion qui le traverse, juste une énumération de faits. Bien qu'il s'agisse de l'évocation d'une passion charnelle, de la découverte de la sexualité et du plaisir, j'ai trouvé qu'il n'y avait aucune sensualité. Quant au style, il ne m'a pas davantage convaincue. Je n'ai pas été séduite par l'écriture que j'ai trouvé laide. Duras ne cherche jamais é faire beau et je le regrette, c'est quand même bien quand un auteur cherche une forme de beauté dans son écriture. Ce style froid, saccadé et pas ciselé participe au manque d'âme du roman. Un roman que j'ai trouvé creux, prétentieux et moche. Bref, j'ai détesté.;1.0;-1
L'amant;MargueriteDuras;"Lu à 20 ans. Vite lu, vite oublié. Franchement surcoté, pensais-je alors. Qu'en est-il maintenant ? Ben pareil : surcoté. Je n'adhère pas du tout... du tout. Ce style m'exaspère, mais d'une force ! ""Il dit... Je dis... Il dit... Je dis..."" (à ne pas mette entre les mains de vos élèves si vous êtes professeur, très mauvais exemple si vous souhaitez qu'ils acquièrent davantage de lexique...) Et puis c'est froid, c'est clinique. Franchement, l'angle pris pour décrire la mère, le frère aîné, et même l'amant sont à pleurer d'ennui. Comment peut-on relater des expériences aussi fortes et des relations aussi puissantes en gardant ce ton résolument ennuyeux ? Marguerite Duras a depuis longtemps trouvé son public, et même si je ne comprends pas pourquoi, tant mieux pour ceux qui y trouvent leur compte.";1.0;-1
L'amant;MargueriteDuras;L'amant. Je le relirai. Promis. Les décennies passent et... qui aurait dit que c'est un confinement qui me fera le ressortir ? Duras a longtemps été une référence pour moi. C'est avec plaisir que j'ai retrouvé sa plume et étonnée à la quatrième page d'y lire : « ... nous avions un boy et nous mangions, parfois, il est vrai, des saloperies, des échassiers, des petits caïmans, mais ces saloperies étaient cuites par un boy et servies par lui et parfois aussi nous les refusions, nous nous permettions ce luxe de ne pas vouloir manger. » Sa mère, ses frères et surtout son amant chinois dans la moiteur de Saïgon des années 30. C'est à 15 ans qu'elle lui offrira sa virginité alors qu'il en a 27. Ressenti comme forme de prostitution ou pédophilie qui fait profiter sa famille des grands restaurants de l'amant riche. Moins emballée de cette seconde lecture. Peut-être plus exigeante avec l'âge ?;3.0;0
L'amant;MargueriteDuras;Intensément présent à sa blancheur diaphane, Intensément aligné à ses courbes frémissantes, Intensément sarclé à ses hanches mouvantesD'une jeune fille de 15 anssur les rives du Mékong ! Métissage de peau en Indochine en 1930. La garçonnière! Elle est là , Dans le froissement des drapsQui plient, Qui ploient sous la tiédeur des rues de SaigonQui rugissent la voilure de l'envie, Il estime, espère, respire son corps allègrementpour y nicher son besoin vital d'elle. L'amant chinois, Qui contrôle, décale , s'insinue dans ses chaires, D'une jeunesse qui s'offre, S'arrime à sa douceur, Serpente dans ses sens en éveille, Elle y dépose son cri, Déesse exotique d'un instant , dans ce corps à corps fusionnel . Etrange partance pour l'étroitePrison de ces sentiments sans avenir. Un richissime chinois déjà promis à une autre ! Juste la possibilité pour elle de cueillir l'instant présent ! Elle devra se détacher, Briser les liens de ces anneaux d'amour , Partir sans se retournerSans chaine, S'envoler, DisparaitreVers cet ailleurs à quaiUn bateau pour horizon !;4.5;1
